citation,reporting_entity,cadence,deadline,source,url,uslm_id
10 U.S.C. 10216(c),Secretary of Defense,annual,with the budget of the Department of Defense for any fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section10216&num=0&edition=prelim,/us/usc/t10/s10216/c
10 U.S.C. 10216(c)(2),Secretary of Defense,event-driven,with the budget submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section10216&num=0&edition=prelim,/us/usc/t10/s10216/c/2
10 U.S.C. 10503 note,National Guard Bureau,annual,concurrent with the President’s budget submission for each fiscal year,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section10503&num=0&edition=prelim,/us/usc/t10/s10503/note/0
10 U.S.C. 10504(b),Secretary of Defense,annual,at the same time each year that the annual report of the Secretary under section 113(c) of this title is submitted to Congress,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section10504&num=0&edition=prelim,/us/usc/t10/s10504/b
10 U.S.C. 10504(c)(3),Chief of National Guard Bureau,annual,annual,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section10504&num=0&edition=prelim,/us/usc/t10/s10504/c/3
10 U.S.C. 1071 note,the Secretary of Defense,annual,Not later than one year after the date on which the pilot program commences and annually thereafter during the life of the pilot program,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1071&num=0&edition=prelim,/us/usc/t10/s1071/note/1
10 U.S.C. 1071 note,Secretary of Defense,biennial,"not later than one year after the date on which the Individual Longitudinal Exposure Record achieves full operational capability, as determined by the Secretary of Defense",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1071&num=0&edition=prelim,/us/usc/t10/s1071/note/12
10 U.S.C. 1071 note,Secretary of Defense,annual,Not later than March 1 each year,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1071&num=0&edition=prelim,/us/usc/t10/s1071/note/26
10 U.S.C. 1071 note,Secretary of Defense,annual,"Not later than one year after the date of the enactment of this Act, and annually thereafter for a period of five years",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1071&num=0&edition=prelim,/us/usc/t10/s1071/note/3
10 U.S.C. 1071 note,Secretary of Defense,annual,"Not later than one year after the date of the enactment of this Act, and every year thereafter",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1071&num=0&edition=prelim,/us/usc/t10/s1071/note/46
10 U.S.C. 1073 note,the Secretary of Defense,annual,Not later than December 31 of each year an agreement entered into under this section is in effect,note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1073&num=0&edition=prelim,/us/usc/t10/s1073/note/13
10 U.S.C. 1073 note,the Secretary,annual,"March 1, 1997, and each March 1 thereafter",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1073&num=0&edition=prelim,/us/usc/t10/s1073/note/36
10 U.S.C. 1073c note,Secretary of Defense; Director of the Defense Health Agency and the Surgeons General of the military departments,annual,"April 1, 2026; quarterly basis until fully implemented; annually thereafter; January 1, 2027, and annually thereafter for five years; upon failure of corrective action",note,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1073c&num=0&edition=prelim,/us/usc/t10/s1073c/note/0
10 U.S.C. 1096(e)(5),Secretary of Defense,annual,Not later than 180 days after the date of the enactment of the National Defense Authorization Act for Fiscal Year 2026,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1096&num=0&edition=prelim,/us/usc/t10/s1096/e/5
10 U.S.C. 1154(i),Secretary of Defense,annual,"December 1, 2022",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section1154&num=0&edition=prelim,/us/usc/t10/s1154/i
10 U.S.C. 118a,Secretary of Defense,multi-year,"in the year following the year in which the review is conducted, but not later than the date on which the President submits the budget for the next fiscal year to Congress",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section118a&num=0&edition=prelim,/us/usc/t10/s118a
10 U.S.C. 118a(d),The Secretary,event-driven,"in the year following the year in which the review is conducted, but not later than the date on which the President submits the budget for the next fiscal year to Congress",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section118a&num=0&edition=prelim,/us/usc/t10/s118a/d
10 U.S.C. 118a(d)(2),not specified,event-driven,"in the year following the year in which the review is conducted, but not later than the date on which the President submits the budget for the next fiscal year to Congress under section 1105(a) of title 31",provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section118a&num=0&edition=prelim,/us/usc/t10/s118a/d/2
10 U.S.C. 118c(e),Secretary of Defense,event-driven,Not later than February 1 of the year following each fiscal year in which the National Defense Strategy is submitted under section 113(g) of this title,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section118c&num=0&edition=prelim,/us/usc/t10/s118c/e
10 U.S.C. 119(a),Secretary of Defense,annual,March 1 of each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119&num=0&edition=prelim,/us/usc/t10/s119/a
10 U.S.C. 119(a)(2),Department of Defense,annual,submission of the President's budget for the next fiscal year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119&num=0&edition=prelim,/us/usc/t10/s119/a/2
10 U.S.C. 119(a)(2)(B),not specified,annual,before the fiscal year during which that budget is submitted,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119&num=0&edition=prelim,/us/usc/t10/s119/a/2/B
10 U.S.C. 119(b),Secretary of Defense,annual,Not later than February 1 of each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119&num=0&edition=prelim,/us/usc/t10/s119/b
10 U.S.C. 119a(a),Secretary of Defense,annual,March 1 each year,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119a&num=0&edition=prelim,/us/usc/t10/s119a/a
10 U.S.C. 119a(a)(2),the Department,annual,annual,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119a&num=0&edition=prelim,/us/usc/t10/s119a/a/2
10 U.S.C. 119a(a)(3),the Department,annual,annually,provision,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section119a&num=0&edition=prelim,/us/usc/t10/s119a/a/3
